,Nathan Eovaldi,1,9,Gunnar Henderson,1,0,Jose Ramirez,1,0,Framber Valdez,3,1,Cody Bellinger,1,4,Bubba Chandler,1,7,Jac Caglianone,3,25,Jack Leiter,3,25,Nick Kurtz,3,25,Shota Imanaga,1,2,Ceddanne Rafaela,1,14,Roman Anthony,3,4
,Logan Gilbert,3,0,Nick Pivetta,1,11,Julio Rodriguez,3,1,Eugenio Suarez,1,5,Carlos Correa,1,10,Lucas Erceg,1,15,Tyler Glasnow,1,3,Max Scherzer,1,25,Nolan McLean,3,25,Corbin Carroll,3,0,Owen Caissie,3,25,Tyler Soderstrom,1,13
,,,,,,,,,,,,,,,,Samuel Basallo,N/A,N/A,,,,,,,,,,JJ Wetherholt,N/A,N/A,,,,Sebastian Walcott,N/A,N/A
2027,Zachary Grant,,,Liam Bredin,,,Sheridan Sater,,,Timothy Chen,,,Jake Koentopp,,,Freddie Leatherbury,,,Kpose,,,pcorcoran3,,,Scotts Tots,,,The Old Timers,,,Sasaki Bombs,,,Vladdy's Daycare,,
,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick
,Willy Adames,1,3,Tarik Skubal,1,-1,JT Realmuto,1,0,Kyle Tucker,1,-2,Zack Wheeler,1,-2,Spencer Steer,1,-1,Ketel Marte,1,-1,Austin Riley,1,-2,Junior Caminero,1,4,Mason Miller,1,7,Yoshinobu Yamamoto,1,-2,Hunter Brown,1,20
,Maikel Garcia,1,9,Steven Kwan,1,11,Chris Sale,1,3,Ryan Pepiot,1,7,Jacob DeGrom,2,1,Heliot Ramos,1,20,Jarren Duran,1,7,Logan Webb,1,-1,Jackson Merrill,1,5,Bryan Woo,2,2,Wyatt Langford,1,-2,Sandy Alcantara,1,20
,Pete Crow-Armstrong,2,7,Joe Ryan,1,0,Jasson Dominguez,1,9,Francisco Lindor,2,-1,,,,,,,Trea Turner,2,0,Aaron Judge,2,0,Paul Skenes,1,5,Corbin Carroll,2,-1,Bryce Miller,1,4,Jackson Chourio,1,-2
,Logan Gilbert,2,-1,,,,Dylan Cease,1,-1,Framber Valdez,2,0,,,,,,,Juan Soto,2,-1,Jack Leiter,2,24,Ronald Acuna Jr.,2,-1,,,,Garrett Crochet,2,0,Cristopher Sanchez,2,4
,,,,,,,Julio Rodriguez,2,0,,,,,,,,,,Jac Caglianone,2,24,,,,Nick Kurtz,2,24,,,,Bobby Witt Jr.,2,-1,Konor Griffin,2,24
,,,,,,,,,,,,,,,,,,,,,,,,,Nolan McLean,2,24,,,,Owen Caissie,2,24,Vladimir Guerrero Jr.,2,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Devers,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Neto,2,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Anthony,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,Zachary Grant,,,Liam Bredin,,,Sheridan Sater,,,Timothy Chen,,,Jake Koentopp,,,Freddie Leatherbury,,,#REF!,,,#REF!,,,#REF!,,,#REF!,,,Sasaki Bombs,,,#REF!,,
,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick,Player,Years,Draft Pick
,Pete Crow-Armstrong,1,6,,,,Julio Rodriguez,1,-1,Francisco Lindor,1,-2,Jacob DeGrom,1,0,,,,Trea Turner,1,-1,Aaron Judge,1,-1,Ronald Acuna Jr.,1,-2,Bryan Woo,1,1,Garrett Crochet,1,-1,Cristopher Sanchez,1,3
,Logan Gilbert,1,-2,,,,,,,Framber Valdez,1,-1,,,,,,,Juan Soto,1,-2,Jack Leiter,1,23,Nick Kurtz,1,23,Corbin Carroll,1,-2,Bobby Witt Jr.,1,-2,Konor Griffin,1,23
,,,,,,,,,,,,,,,,,,,Jac Caglianone,1,23,,,,Nolan McLean,1,23,,,,Owen Caissie,1,23,Vladimir Guerrero Jr.,1,-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Devers,1,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Neto,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Anthony,1,2
